time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-2.89915439144e-05,9.85486098353e-07,10.0042704212,0.000152448261129,0.00666742377735,0.0,-0.00172032557815,5.54644712504e-05,0.142337754881,-0.00564219554054,-0.0295113158794,0.0,450.6846556489133,448.293544654175,451.0039618234524,450.54814345002774
0.12000000000000001,-0.000285491078705,8.10126628674e-06,10.0161352987,0.000423056354368,0.0105058164154,0.0,-0.00720160460046,0.00020205716278,0.253136438823,0.00179131662815,-0.00473970237773,0.0,439.49512203812554,441.5430856893961,439.87669567626114,440.4917943352672
0.18,-0.000937943796292,6.91566402294e-05,10.03469147,0.010143505281,0.0102944298139,0.0,-0.014529136579,0.00287880315199,0.365368923717,-0.033393919515,-0.00913332263725,0.0,440.26187073811826,439.8983594569526,443.0919507898027,440.1903706138695
0.23999999999999996,-0.00200844629986,0.000411839977271,10.0560034428,0.00901622345837,0.017155504059,0.0,-0.021758229985,0.00845878513397,0.345029863184,-0.0449189833106,-0.0401751259777,0.0,397.565665188518,394.7115904708473,398.50005767099924,397.44448870687717
0.3,-0.0037179879089,0.00114540932805,10.0831074324,0.0114360386858,0.0150630900409,0.0,-0.0349855708626,0.0162523295132,0.558357411028,-0.0213152407628,-0.0476691411505,0.0,472.4437810796654,471.8648237389851,470.30864737708913,472.1323948512253
0.36000000000000004,-0.00619920520648,0.00244733480641,10.1230452705,0.0222858426602,0.0197945456392,0.0,-0.0482483492446,0.0284811203769,0.772753780334,-0.0606845927849,-0.0186628304222,0.0,471.3194520005295,473.554953122369,473.51596975770263,470.47751955675466
0.4200000000000001,-0.00958375171751,0.0046950242364,10.1766017501,0.018905131793,0.0193892354959,0.0,-0.0645067558318,0.0460316747602,1.01229017871,-0.0676020129174,-0.0105260974634,0.0,479.8940493714319,480.51130333822624,479.80013679040144,479.2721803003145
0.48000000000000015,-0.013868286555,0.00784940511081,10.241066475,0.0157333381127,0.0190844244394,0.0,-0.078284870836,0.0587894851634,1.13642425355,-0.0791735755314,-0.018101900437,0.0,446.06675163070213,445.4478535014006,445.9455170398044,444.995480045698
0.5400000000000001,-0.0189579386862,0.0116728533461,10.3114769692,0.0111132927452,0.0229526366195,0.0,-0.0917258328916,0.0682090159167,1.21051499547,-0.0845075425605,0.00511037235865,0.0,429.01944000461606,430.985679570085,430.1863815769195,429.72899153554397
0.6000000000000002,-0.0249321758144,0.0159703532202,10.3864491575,0.00658586102016,0.0263091787313,0.0,-0.107727346442,0.0745858838005,1.28846930852,-0.0775469464007,0.0230788393652,0.0,430.6633973041557,432.1802994103304,431.095142779951,431.677130737087
0.6600000000000003,-0.0320186285015,0.0205781337423,10.4692388315,0.00195999191123,0.0297239183939,0.0,-0.128855731855,0.0784807874378,1.4709610641,-0.0809095789287,0.0375325152387,0.0,463.97027150672466,465.1037234049263,463.7224779881889,463.4536174835595
0.7200000000000003,-0.0404894355574,0.0253313900113,10.5640745706,0.00167479326734,0.0340919566398,0.0,-0.154000537101,0.0798999966914,1.68991523431,-0.0586629341538,0.0523126220576,0.0,475.1676503833633,476.3001230472849,474.1086238900088,475.81079864296026
0.7800000000000004,-0.0503554142671,0.0301582286878,10.6656257914,0.00227865774549,0.0392682744885,0.0,-0.175335804063,0.081068570487,1.69509866683,-0.0821406307047,0.0354296334171,0.0,409.1903442164759,407.68626129998734,410.12174376636995,408.02751154750564
0.8400000000000004,-0.0616845598282,0.0350498660032,10.7699983295,6.28052543018,0.0420342092866,0.0,-0.202567658848,0.0814907689849,1.78383916551,-0.0828619719751,0.0430758635221,0.0,436.08493970838754,436.7238535475928,436.30158774994527,436.23570952051784
0.9000000000000005,-0.0748541749418,0.0398566893481,10.8828437331,6.27605494491,0.0487136332548,0.0,-0.237155871451,0.0782122691007,1.97732088919,-0.076214594892,0.0640752520054,0.0,467.69032804520646,469.32439783808434,469.01861442407113,469.5296999628653
0.9600000000000005,-0.0901547941488,0.0443835363365,11.0048930106,6.27198193242,0.0602529673816,0.0,-0.274024474933,0.0722706235582,2.09071672825,-0.0852524798224,0.0932856393996,0.0,443.87219425821826,446.2670969447504,445.8165468664503,445.0724837980048
1.0200000000000005,-0.108086919413,0.0484346067292,11.136939749,6.26934750188,0.0659472103105,0.0,-0.324375676438,0.0624362009153,2.3103688956,-0.0691576744263,0.0884665105583,0.0,477.70090743271675,477.33974307251447,477.7221441981109,478.94310217048366
1.0800000000000005,-0.129198454012,0.0518251892667,11.2822853586,6.26547096411,0.0744844198137,0.0,-0.380315777288,0.0501194913382,2.5339287904,-0.0645107124374,0.106987667447,0.0,479.2960357757854,480.70842860221336,479.92588910026313,480.2753944765392
1.1400000000000006,-0.153387162889,0.0545001733628,11.4346856635,6.26165309114,0.0814763816152,0.0,-0.426589713701,0.0387121236392,2.5459897923,-0.0684991804373,0.114163465818,0.0,415.2360335682756,415.8765164672214,415.07385728652713,414.7201318858158
1.2000000000000006,-0.18050576311,0.0564376898034,11.5880700924,6.26471369288,0.0894576561586,0.0,-0.47809334866,0.026126095086,2.56670611139,-0.0403412777294,0.101248760947,0.0,419.891455921323,418.7810617162917,416.1251287591959,418.5799821310839
1.2600000000000007,-0.21136986475,0.0575552098203,11.7483479203,6.26311693197,0.0957862677302,0.0,-0.551423149544,0.0109367064324,2.77531052219,-0.0315271596465,0.0944015587909,0.0,477.467646174899,476.95268190875015,477.0879389612142,477.7598678107704
